일련번호,상호명,지번주소
21579,세븐일레븐,광주광역시 광산구 신가동 1061
21580,미니스톱,광주광역시 서구 쌍촌동 987-7
21581,GS25,광주광역시 북구 문흥동 924-1
21582,CU수완해피점,광주광역시 광산구 수완동 1225
21583,위드미광주그랑시아점,광주광역시 북구 운암동 1059-4
21584,세븐일레븐광주상무이다움점,광주광역시 서구 치평동 1259-4
21585,CU,광주광역시 서구 동천동 648
21586,CU,광주광역시 서구 치평동 1237-2
21587,GS25,광주광역시 광산구 월곡동 685-1
21588,GS25,광주광역시 북구 용봉동 1238-25
21589,세븐일레븐광주용봉대주점,광주광역시 북구 용봉동 1075
21590,GS25,광주광역시 광산구 신창동 1152-10
21591,위드미광주쌍촌점,광주광역시 서구 쌍촌동 294-3
21592,위드미,광주광역시 서구 광천동 49-1
21593,세븐일레븐,광주광역시 광산구 월계동 756-6
21594,위드미광주화정점,광주광역시 서구 화정동 743-47
21595,GS25,광주광역시 서구 쌍촌동 252-4
21596,위드미,광주광역시 남구 봉선동 156
21597,위드미전대치대점,광주광역시 북구 신안동 473-8
